Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
W;knapsackmf.cpp;12;2.3488049507141113;1-3;LSB bit-flip
values;knapsackmf.cpp;14;3.012510299682617;1-3;LSB bit-flip
file_size;rtld.c;794;1.656623125076294;1-3;LSB bit-flip
values;knapsackmf.cpp;14;1.8693079948425293;1-3;Zero bit-flip
weights;knapsackmf.cpp;15;2.156125783920288;1-3;Zero bit-flip
W;knapsackmf.cpp;12;2.2261874675750732;1-3;Double bit-flip
W;knapsackmf.cpp;12;2.0212814807891846;1-3;Single bit-flip
__first;/usr/include/c++/5/bits/stl_uninitialized.h;566;1.3534259796142578;1-3;Single bit-flip
