Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
c;knapsacksa.cpp;50;1.4295945167541504;0-2;Single bit-flip
solution;knapsacksa.cpp;38;1.2995715141296387;0-2;Single bit-flip
wt;knapsacksa.cpp;14;1.7028920650482178;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.4264795780181885;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;1.1052236557006836;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.3776869773864746;0-2;Single bit-flip
c;knapsacksa.cpp;50;1.9601082801818848;0-2;Single bit-flip
wt;knapsacksa.cpp;14;0.8162763118743896;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.0227835178375244;0-2;Single bit-flip
n;knapsacksa.cpp;15;2.2219200134277344;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.3681526184082031;0-2;Single bit-flip
W;knapsacksa.cpp;15;1.2547485828399658;0-2;Single bit-flip
n;knapsacksa.cpp;15;0.6086859703063965;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.2348573207855225;0-2;Single bit-flip
i;knapsacksa.cpp;48;1.1289093494415283;0-2;Single bit-flip
i;knapsacksa.cpp;27;1.0717737674713135;0-2;Single bit-flip
W;knapsacksa.cpp;15;0.4494936466217041;0-2;Single bit-flip
s;knapsacksa.cpp;47;0.8555207252502441;0-2;Single bit-flip
i;knapsacksa.cpp;27;1.0680179595947266;0-2;Single bit-flip
set;../sysdeps/unix/sysv/linux/raise.c;39;0.8781518936157227;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.072218894958496;0-2;Single bit-flip
W;knapsacksa.cpp;15;1.3156986236572266;0-2;Single bit-flip
n;knapsacksa.cpp;15;0.8353261947631836;0-2;Single bit-flip
n;knapsacksa.cpp;15;0.6928789615631104;0-2;Single bit-flip
i;knapsacksa.cpp;27;0.9623973369598389;0-2;Single bit-flip
wt;knapsacksa.cpp;14;2.055128574371338;0-2;Single bit-flip
i;knapsacksa.cpp;27;0.5010061264038086;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.621039867401123;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.1186509132385254;0-2;Single bit-flip
W;knapsacksa.cpp;15;1.634800910949707;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;0.7657883167266846;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;0.8130283355712891;0-2;Single bit-flip
W;knapsacksa.cpp;15;0.5888910293579102;0-2;Single bit-flip
wt;knapsacksa.cpp;14;1.11138916015625;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.5352067947387695;0-2;Single bit-flip
solution;knapsacksa.cpp;25;1.6427967548370361;0-2;Single bit-flip
i;knapsacksa.cpp;27;1.1848044395446777;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.589597225189209;0-2;Single bit-flip
wt;knapsacksa.cpp;14;2.057211399078369;0-2;Single bit-flip
x;../sysdeps/ieee754/flt-32/w_expf_compat.c;24;1.2812020778656006;0-2;Single bit-flip
t;knapsacksa.cpp;46;1.3076403141021729;0-2;Single bit-flip
n;knapsacksa.cpp;15;0.9850583076477051;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;1.2191016674041748;0-2;Single bit-flip
i;knapsacksa.cpp;27;1.1047570705413818;0-2;Single bit-flip
s;knapsacksa.cpp;47;1.2677943706512451;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.1036968231201172;0-2;Single bit-flip
wt;knapsacksa.cpp;14;1.0691685676574707;0-2;Single bit-flip
solution;knapsacksa.cpp;25;1.237624168395996;0-2;Single bit-flip
n;knapsacksa.cpp;15;0.9295098781585693;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.4150185585021973;0-2;Single bit-flip
temp;knapsacksa.cpp;42;1.3547008037567139;0-2;Single bit-flip
i;knapsacksa.cpp;27;1.5385489463806152;0-2;Single bit-flip
temp;knapsacksa.cpp;42;2.157986879348755;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.263679027557373;0-2;Single bit-flip
delta;knapsacksa.cpp;51;1.3303031921386719;0-2;Single bit-flip
wt;knapsacksa.cpp;14;2.3666279315948486;0-2;Single bit-flip
val;knapsacksa.cpp;13;1.749464988708496;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.6950297355651855;0-2;Single bit-flip
n;knapsacksa.cpp;15;0.8123326301574707;0-2;Single bit-flip
W;knapsacksa.cpp;15;2.6674933433532715;0-2;Single bit-flip
solution;knapsacksa.cpp;25;1.1997182369232178;0-2;Single bit-flip
solution;knapsacksa.cpp;25;1.6497807502746582;0-2;Single bit-flip
solution;knapsacksa.cpp;25;1.1645007133483887;0-2;Single bit-flip
n;knapsacksa.cpp;15;0.5420727729797363;0-2;Single bit-flip
_rtld_global;rtld.c;231;1.149982213973999;0-2;Single bit-flip
this;knapsacksa.cpp;0;1.2811076641082764;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.99955153465271;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.4287195205688477;0-2;Single bit-flip
n;knapsacksa.cpp;15;0.5960671901702881;0-2;Single bit-flip
W;knapsacksa.cpp;15;1.1839990615844727;0-2;Single bit-flip
solution;knapsacksa.cpp;25;1.2322297096252441;0-2;Single bit-flip
__a;/usr/include/c++/7/bits/stl_vector.h;136;0.6610126495361328;0-2;Single bit-flip
n;knapsacksa.cpp;15;0.6960310935974121;0-2;Single bit-flip
W;knapsacksa.cpp;15;0.5599946975708008;0-2;Single bit-flip
val;knapsacksa.cpp;13;2.1636385917663574;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;0.3113381862640381;0-2;Single bit-flip
i;knapsacksa.cpp;27;0.8014824390411377;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.8940188884735107;0-2;Single bit-flip
__result;/usr/include/c++/7/bits/stl_uninitialized.h;288;1.2912986278533936;0-2;Single bit-flip
__n;/usr/include/c++/7/bits/stl_vector.h;795;0.8870849609375;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;0.3859870433807373;0-2;Single bit-flip
temp;knapsacksa.cpp;42;0.5835561752319336;0-2;Single bit-flip
best;knapsacksa.cpp;41;1.5426104068756104;0-2;Single bit-flip
W;knapsacksa.cpp;15;2.188708543777466;0-2;Single bit-flip
W;knapsacksa.cpp;15;2.115853786468506;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.774897575378418;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.0482761859893799;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.3417439460754395;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;0.30411624908447266;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.0386278629302979;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.1533050537109375;0-2;Single bit-flip
W;knapsacksa.cpp;15;1.834536075592041;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.7517454624176025;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.0238478183746338;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.3454749584197998;0-2;Single bit-flip
n;knapsacksa.cpp;15;0.8596899509429932;0-2;Single bit-flip
temp;knapsacksa.cpp;42;1.2750957012176514;0-2;Single bit-flip
s;knapsacksa.cpp;47;0.9503815174102783;0-2;Single bit-flip
c;knapsacksa.cpp;50;1.0238573551177979;0-2;Single bit-flip
this;knapsacksa.cpp;0;1.234492301940918;0-2;Single bit-flip
wt;knapsacksa.cpp;14;1.0707151889801025;0-2;Single bit-flip
__first;/usr/include/c++/7/bits/stl_algobase.h;420;1.6552693843841553;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.3380441665649414;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.2509770393371582;0-2;Single bit-flip
__GI__dl_argv;rtld.c;83;0.8803865909576416;0-2;Single bit-flip
i;knapsacksa.cpp;27;2.4727466106414795;0-2;Single bit-flip
wt;knapsacksa.cpp;14;0.5333366394042969;0-2;Single bit-flip
this;knapsacksa.cpp;0;0.8003568649291992;0-2;Single bit-flip
val;knapsacksa.cpp;13;1.9041063785552979;0-2;Single bit-flip
val;knapsacksa.cpp;13;1.8371975421905518;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.1468451023101807;0-2;Single bit-flip
i;knapsacksa.cpp;27;1.6458885669708252;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.6542742252349854;0-2;Single bit-flip
n;knapsacksa.cpp;15;0.4787421226501465;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;0.5567941665649414;0-2;Single bit-flip
i;knapsacksa.cpp;27;1.8727757930755615;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.1603715419769287;0-2;Single bit-flip
peso;knapsacksa.cpp;26;1.4704005718231201;0-2;Single bit-flip
