Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
W;knapsacksa.cpp;15;0.3252260684967041;0-2;Single bit-flip
peso;knapsacksa.cpp;26;0.43787527084350586;0-2;Single bit-flip
solution;knapsacksa.cpp;38;1.205688714981079;0-2;Single bit-flip
peso;knapsacksa.cpp;26;0.5374882221221924;0-2;Single bit-flip
wt;knapsacksa.cpp;14;0.6923184394836426;0-2;Single bit-flip
W;knapsacksa.cpp;15;1.680501937866211;0-2;Single bit-flip
W;knapsacksa.cpp;15;1.1523587703704834;0-2;Single bit-flip
n;knapsacksa.cpp;15;0.5603907108306885;0-2;Single bit-flip
peso;knapsacksa.cpp;26;1.0583581924438477;0-2;Single bit-flip
W;knapsacksa.cpp;15;0.7695508003234863;0-2;Single bit-flip
W;knapsacksa.cpp;15;1.8103432655334473;0-2;Single bit-flip
n;knapsacksa.cpp;15;0.9568350315093994;0-2;Single bit-flip
i;knapsacksa.cpp;27;0.8270878791809082;0-2;Single bit-flip
W;knapsacksa.cpp;15;0.870211124420166;0-2;Single bit-flip
peso;knapsacksa.cpp;26;0.3745734691619873;0-2;Single bit-flip
W;knapsacksa.cpp;15;1.1312084197998047;0-2;Single bit-flip
n;knapsacksa.cpp;15;0.9310097694396973;0-2;Single bit-flip
temp;knapsacksa.cpp;42;1.5923163890838623;0-2;Single bit-flip
W;knapsacksa.cpp;15;1.1567180156707764;0-2;Single bit-flip
W;knapsacksa.cpp;15;1.0785748958587646;0-2;Single bit-flip
val;knapsacksa.cpp;13;0.9347665309906006;0-2;Single bit-flip
temp;knapsacksa.cpp;42;1.454439401626587;0-2;Single bit-flip
t;knapsacksa.cpp;46;0.7461116313934326;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.188737392425537;0-2;Single bit-flip
W;knapsacksa.cpp;15;1.028233289718628;0-2;Single bit-flip
best;knapsacksa.cpp;41;1.278012990951538;0-2;Single bit-flip
s;knapsacksa.cpp;47;0.7178442478179932;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.3119041919708252;0-2;Single bit-flip
W;knapsacksa.cpp;15;1.0265545845031738;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.0707173347473145;0-2;Single bit-flip
val;knapsacksa.cpp;13;1.0648987293243408;0-2;Single bit-flip
W;knapsacksa.cpp;15;0.6665322780609131;0-2;Single bit-flip
W;knapsacksa.cpp;15;1.2854416370391846;0-2;Single bit-flip
