Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
i2;knapsackmf.cpp;69;1.5397520065307617;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;2.1774532794952393;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;2.477111577987671;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;1.4880824089050293;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;1.5456454753875732;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;1.7816529273986816;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;1.970099687576294;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;2.017299175262451;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;1.5691676139831543;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;1.7858619689941406;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;1.8742308616638184;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;2.45528244972229;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;1.6464838981628418;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;2.1545703411102295;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;2.579637289047241;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;1.7412900924682617;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;2.777583599090576;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;1.5230615139007568;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;1.7557272911071777;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;1.6484036445617676;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;2.1254987716674805;1-3;Random bit-flip;1
weights2;knapsackmf.cpp;19;1.8964064121246338;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;2.6451497077941895;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;2.1720852851867676;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;2.3073630332946777;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;1.5791704654693604;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;2.5404183864593506;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;1.1141622066497803;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;2.0726451873779297;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;1.6990623474121094;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;1.603187084197998;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;3.3498153686523438;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;2.1964194774627686;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;2.219156503677368;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;2.3544349670410156;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;2.18534779548645;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;2.332075834274292;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;1.8048813343048096;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;1.6766917705535889;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;1.9437007904052734;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;2.0473458766937256;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;2.2377054691314697;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;1.2221195697784424;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;2.4711380004882812;1-3;Random bit-flip;1
values2;knapsackmf.cpp;17;2.967329263687134;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;2.909196138381958;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;2.4334330558776855;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;2.3858675956726074;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;1.5187699794769287;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;1.9424238204956055;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;1.9588937759399414;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;2.0869178771972656;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;2.5202205181121826;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;2.0215225219726562;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;2.8750834465026855;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;2.4789299964904785;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;1.8881433010101318;1-3;Random bit-flip;1
weights2;knapsackmf.cpp;19;2.2173519134521484;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;1.4973540306091309;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;1.2544546127319336;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;1.5619678497314453;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;2.455470085144043;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;1.8631083965301514;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;2.195990800857544;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;1.984011173248291;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;2.3106400966644287;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;2.991889476776123;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;2.4719150066375732;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;2.2365715503692627;1-3;Random bit-flip;1
i2;knapsackmf.cpp;40;1.2670519351959229;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;1.314082145690918;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;2.0792183876037598;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;1.723311424255371;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;1.816429615020752;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;1.840381145477295;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;2.1071231365203857;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;2.2444496154785156;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;3.294736623764038;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;2.013737678527832;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;1.4823086261749268;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;3.012850522994995;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;2.977919816970825;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;1.2843379974365234;1-3;Random bit-flip;1
values;knapsackmf.cpp;16;1.8746662139892578;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;2.125990152359009;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;1.662182331085205;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;1.9526374340057373;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;2.1669087409973145;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;2.6332364082336426;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;2.0569379329681396;1-3;Random bit-flip;1
weights2;knapsackmf.cpp;19;2.3510172367095947;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;2.710228443145752;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;2.4344379901885986;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;1.5471076965332031;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;2.2949788570404053;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;2.032519578933716;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;2.3330130577087402;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;2.1565749645233154;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;2.1125693321228027;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;2.309849500656128;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;2.635615348815918;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;2.4027185440063477;1-3;Random bit-flip;1
weights2;knapsackmf.cpp;19;1.5898549556732178;1-3;Random bit-flip;1
weights2;knapsackmf.cpp;19;1.9431381225585938;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;1.6753079891204834;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;1.8969333171844482;1-3;Random bit-flip;1
values;knapsackmf.cpp;16;2.3577117919921875;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;2.0921242237091064;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;1.7154788970947266;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;1.3604543209075928;1-3;Random bit-flip;1
values;knapsackmf.cpp;16;2.000612258911133;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;2.1435227394104004;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;2.079160213470459;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;2.8246402740478516;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;2.438055992126465;1-3;Random bit-flip;1
j;knapsackmf.cpp;69;1.7832489013671875;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;1.791853666305542;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;2.6768605709075928;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;2.3035333156585693;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;1.4022727012634277;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;1.5053119659423828;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;1.8680510520935059;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;2.2559173107147217;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;2.6953742504119873;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;1.7939684391021729;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;2.929697036743164;1-3;Random bit-flip;1
weights2;knapsackmf.cpp;19;2.060804605484009;1-3;Random bit-flip;1
values2;knapsackmf.cpp;17;2.0939290523529053;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;1.761641502380371;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;1.8610484600067139;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;1.9215753078460693;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;2.9818596839904785;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;2.4385178089141846;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;2.106766700744629;1-3;Random bit-flip;1
values;knapsackmf.cpp;16;1.837489366531372;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;2.2962334156036377;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;2.6269307136535645;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;1.9585635662078857;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;3.003042697906494;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;1.9289321899414062;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;2.195115089416504;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;1.9535810947418213;1-3;Random bit-flip;1
weights2;knapsackmf.cpp;19;2.2389280796051025;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;2.8362948894500732;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;2.290123462677002;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;2.0167531967163086;1-3;Random bit-flip;1
w2;knapsackmf.cpp;42;1.7085824012756348;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;1.9551751613616943;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;2.21696400642395;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;2.5181238651275635;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;2.0148582458496094;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;1.8550822734832764;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;1.7576169967651367;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;1.9267244338989258;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;3.172844886779785;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;1.9768483638763428;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;1.7733025550842285;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;2.8681890964508057;1-3;Random bit-flip;1
values;knapsackmf.cpp;16;1.7431340217590332;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;1.8526859283447266;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;3.1291675567626953;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;1.1943011283874512;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;2.2631418704986572;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;1.6115288734436035;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;2.6778950691223145;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;1.74617338180542;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;2.0523760318756104;1-3;Random bit-flip;1
weights2;knapsackmf.cpp;19;1.8220884799957275;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;1.6797723770141602;1-3;Random bit-flip;1
values;knapsackmf.cpp;16;1.5041637420654297;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;2.106931686401367;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;2.7724990844726562;1-3;Random bit-flip;1
weights;knapsackmf.cpp;18;2.7265830039978027;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;1.785797357559204;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;1.8158366680145264;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;1.5996439456939697;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;1.5116500854492188;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;1.8299274444580078;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;2.6148793697357178;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;2.143113374710083;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;2.190256118774414;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;1.5635080337524414;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;2.407626152038574;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;2.599646806716919;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;2.4080610275268555;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;2.496577739715576;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;2.160677194595337;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;1.8991496562957764;1-3;Random bit-flip;1
values;knapsackmf.cpp;16;1.5068340301513672;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;1.4691057205200195;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;2.3451027870178223;1-3;Random bit-flip;1
weights;knapsackmf.cpp;18;1.073167085647583;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;1.4659829139709473;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;2.1737704277038574;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;1.6162946224212646;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;1.4417057037353516;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;2.630568265914917;1-3;Random bit-flip;1
