Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
n2;knapsacksa.cpp;13;2.028071641921997;0-9;LSB bit-flip;1
temp2;knapsacksa.cpp;84;2.065546989440918;0-9;LSB bit-flip;1
peso2;knapsacksa.cpp;56;0.8988382816314697;0-9;LSB bit-flip;1
peso;knapsacksa.cpp;56;6.878626823425293;0-9;LSB bit-flip;1
valor2;knapsacksa.cpp;56;2.268024206161499;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;4.804037809371948;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;6.894732236862183;0-9;LSB bit-flip;1
val2;knapsacksa.cpp;15;2.2197370529174805;0-9;LSB bit-flip;1
n2;knapsacksa.cpp;13;7.831742525100708;0-9;LSB bit-flip;1
best2;knapsacksa.cpp;82;1.7261357307434082;0-9;LSB bit-flip;1
best;knapsacksa.cpp;81;2.648958444595337;0-9;LSB bit-flip;1
temp2;knapsacksa.cpp;84;1.7040002346038818;0-9;LSB bit-flip;1
val;knapsacksa.cpp;14;1.6884422302246094;0-9;LSB bit-flip;1
temp;knapsacksa.cpp;83;2.705225944519043;0-9;LSB bit-flip;1
n2;knapsacksa.cpp;13;2.329190492630005;0-9;LSB bit-flip;1
valor;knapsacksa.cpp;56;6.778672456741333;0-9;LSB bit-flip;1
n2;knapsacksa.cpp;13;5.0384581089019775;0-9;LSB bit-flip;1
i;knapsacksa.cpp;90;3.4804770946502686;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;6.359606504440308;0-9;LSB bit-flip;1
peso;knapsacksa.cpp;56;1.326490879058838;0-9;LSB bit-flip;1
best;knapsacksa.cpp;81;2.5645320415496826;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;3.904414653778076;0-9;LSB bit-flip;1
n2;knapsacksa.cpp;13;3.3654372692108154;0-9;LSB bit-flip;1
best;knapsacksa.cpp;81;4.019933462142944;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;2.238295078277588;0-9;LSB bit-flip;1
valor;knapsacksa.cpp;56;2.699129343032837;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;2.900289297103882;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;2.2795681953430176;0-9;LSB bit-flip;1
best;knapsacksa.cpp;81;5.604150772094727;0-9;LSB bit-flip;1
peso2;knapsacksa.cpp;56;3.9537746906280518;0-9;LSB bit-flip;1
i;knapsacksa.cpp;57;2.5646345615386963;0-9;LSB bit-flip;1
peso;knapsacksa.cpp;56;4.35499906539917;0-9;LSB bit-flip;1
temp;knapsacksa.cpp;83;2.6050145626068115;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;4.12581729888916;0-9;LSB bit-flip;1
temp2;knapsacksa.cpp;84;6.734554052352905;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;3.5652711391448975;0-9;LSB bit-flip;1
n2;knapsacksa.cpp;13;3.5482418537139893;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;1.4604122638702393;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;2.208174228668213;0-9;LSB bit-flip;1
valor;knapsacksa.cpp;56;4.800645589828491;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;4.636565446853638;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;3.7353427410125732;0-9;LSB bit-flip;1
val;knapsacksa.cpp;14;3.1316184997558594;0-9;LSB bit-flip;1
n2;knapsacksa.cpp;13;3.24330472946167;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;6.056244134902954;0-9;LSB bit-flip;1
best;knapsacksa.cpp;81;3.8878183364868164;0-9;LSB bit-flip;1
n2;knapsacksa.cpp;13;1.5345218181610107;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;3.6777825355529785;0-9;LSB bit-flip;1
wt;knapsacksa.cpp;16;3.1196556091308594;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;2.65486478805542;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;3.0087239742279053;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;2.4878573417663574;0-9;LSB bit-flip;1
temp2;knapsacksa.cpp;84;6.822441816329956;0-9;LSB bit-flip;1
valor2;knapsacksa.cpp;56;4.612495422363281;0-9;LSB bit-flip;1
valor2;knapsacksa.cpp;56;1.55806565284729;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;3.578120708465576;0-9;LSB bit-flip;1
peso2;knapsacksa.cpp;56;2.720691680908203;0-9;LSB bit-flip;1
n2;knapsacksa.cpp;13;4.841373682022095;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;3.169466018676758;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;2.3234283924102783;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;4.3863818645477295;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;3.5904700756073;0-9;LSB bit-flip;1
peso;knapsacksa.cpp;56;3.515968084335327;0-9;LSB bit-flip;1
best;knapsacksa.cpp;81;1.625962257385254;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;1.8370468616485596;0-9;LSB bit-flip;1
temp;knapsacksa.cpp;83;1.7334189414978027;0-9;LSB bit-flip;1
n2;knapsacksa.cpp;13;2.197026014328003;0-9;LSB bit-flip;1
