"","errLimit","percentage","benchmark"
"1","0",100,"sa"
"2","0.1",93.8268305718867,"sa"
"3","0.2",88.8161411010155,"sa"
"4","0.3",82.5628006413683,"sa"
"5","0.4",67.049706039551,"sa"
"6","0.5",65.5264564404062,"sa"
"7","1",53.4607161945484,"sa"
"8","2",51.9374665954035,"sa"
"9","3",51.5633351149118,"sa"
"10","4",50.7749866381614,"sa"
"11","5",44.4949225013362,"sa"
"12","8",34.9144842330305,"sa"
"13","10",34.7942276857296,"sa"
"14","12",34.5136290753608,"sa"
"15","15",34.4735435595938,"sa"
