numberIterationErrors;maxRelativeError;minRelativeError;averageRelativeError;numberErrorsLessThan0.1;numberErrorsLessThan0.2;numberErrorsLessThan0.3;numberErrorsLessThan0.4;numberErrorsLessThan0.5;numberErrorsLessThan1;numberErrorsLessThan2;numberErrorsLessThan3;numberErrorsLessThan4;numberErrorsLessThan5;numberErrorsLessThan8;numberErrorsLessThan10;numberErrorsLessThan12;numberErrorsLessThan15
1;5.183097948412555;5.183097948412555;5.183097948412555;0;0;0;0;0;0;0;0;0;0;1;1;1;1
1;4.9660098212875745;4.9660098212875745;4.9660098212875745;0;0;0;0;0;0;0;0;0;1;1;1;1;1
1;4.496444967874382;4.496444967874382;4.496444967874382;0;0;0;0;0;0;0;0;0;1;1;1;1;1
1;4.8904760908155165;4.8904760908155165;4.8904760908155165;0;0;0;0;0;0;0;0;0;1;1;1;1;1
1;29.60275346132844;29.60275346132844;29.60275346132844;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;4.9660098212875745;4.9660098212875745;4.9660098212875745;0;0;0;0;0;0;0;0;0;1;1;1;1;1
1;26.063322761147884;26.063322761147884;26.063322761147884;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;5.2143007992876615;5.2143007992876615;5.2143007992876615;0;0;0;0;0;0;0;0;0;0;1;1;1;1
1;5.000256852735862;5.000256852735862;5.000256852735862;0;0;0;0;0;0;0;0;0;0;1;1;1;1
1;29.291485997720667;29.291485997720667;29.291485997720667;0;0;0;0;0;0;0;0;0;0;0;0;0;0
