"","errLimit","percentage","benchmark"
"1","0",100,"ga"
"2","0.1",97.8914558122479,"ga"
"3","0.2",95.1595159515952,"ga"
"4","0.3",94.2977631096443,"ga"
"5","0.4",92.3909057572424,"ga"
"6","0.5",92.005867253392,"ga"
"7","1",89.3289328932893,"ga"
"8","2",80.0696736340301,"ga"
"9","3",70.975430876421,"ga"
"10","4",69.0869086908691,"ga"
"11","5",68.2984965163183,"ga"
"12","8",66.5383204987165,"ga"
"13","10",66.0982764943161,"ga"
"14","12",65.9515951595159,"ga"
"15","15",65.9515951595159,"ga"
