"","errLimit","percentage","benchmark"
"1","0",100,"HotSpot"
"2","0.1",80,"HotSpot"
"3","0.2",80,"HotSpot"
"4","0.3",80,"HotSpot"
"5","0.4",80,"HotSpot"
"6","0.5",80,"HotSpot"
"7","1",80,"HotSpot"
"8","2",80,"HotSpot"
"9","3",60,"HotSpot"
"10","4",60,"HotSpot"
"11","5",60,"HotSpot"
"12","8",60,"HotSpot"
"13","10",60,"HotSpot"
"14","12",60,"HotSpot"
"15","15",40,"HotSpot"
